INF-BLD-002,INF,BLD,"Require infrastructure systems and buildouts to be carbon neutral or carbon negative",MISSING,2,2
INF-ENR-004,INF,ENR,"End oil and coal subsidies",MISSING,2,2
INF-ENR-005,INF,ENR,"Guarantee phaseout of oil and coal for energy production",MISSING,2,2
INF-GRD-003,INF,GRD,"Require a carbon-neutral or carbon-negative power grid",MISSING,2,2
INF-RAIL-001,INF,RAIL,"Modernize the U.S. rail system",MISSING,2,2
INF-RAIL-002,INF,RAIL,"Expand high-speed rail",MISSING,2,2
INF-TRN-001,INF,TRN,"Expand public transportation systems",MISSING,2,2
INF-TRN-002,INF,TRN,"Prioritize reliable affordable and accessible public transportation in infrastructure planning",MISSING,2,2
INF-TRN-003,INF,TRN,"Phase out gasoline-only and internal-combustion-only passenger vehicles",MISSING,2,2
INF-TRN-004,INF,TRN,"Require at minimum plug-in hybrid capability during transition periods where full electrification is not yet feasible",MISSING,2,2
INF-TRN-005,INF,TRN,"Establish extremely strict fuel-efficiency standards during transition away from internal combustion vehicles",MISSING,2,2
TEC-BIO-001,TEC,BIO,"Ban use of facial recognition for dragnet surveillance in public spaces",MISSING,2,2
TEC-BIO-002,TEC,BIO,"Biometric identification systems may only be used under strict judicial authorization in narrowly defined high-necessity investigations",MISSING,2,2
TEC-BIO-003,TEC,BIO,"Ban use of AI systems that claim to infer emotion intent deception dangerousness or mental state from faces voices or body language for surveillance or law enforcement purposes",MISSING,2,2
TEC-DAT-001,TEC,DAT,"Ban or strictly limit cross-agency fusion of surveillance datasets unless specifically authorized by law subject to judicial oversight and publicly disclosed in general terms",MISSING,2,2
TEC-DAT-002,TEC,DAT,"Ban creation of secret AI-generated behavioral dossiers on individuals absent individualized legal cause and judicial process",MISSING,2,2
TEC-DAT-003,TEC,DAT,"Ban use of commercially acquired bulk location biometric or behavioral data in AI surveillance systems",MISSING,2,2
TEC-EDU-001,TEC,EDU,"AI systems in education must enhance learning without replacing human instruction critical thinking or equitable access to education",MISSING,2,2
TEC-EDU-002,TEC,EDU,"AI systems may not replace human educators in primary secondary or higher education contexts where direct instruction is required",MISSING,2,2
TEC-EDU-003,TEC,EDU,"AI systems may be used to support educators and students but may not substitute for qualified teaching or mentorship",MISSING,2,2
TEC-EDU-004,TEC,EDU,"AI systems may not be the sole basis for grading or evaluation in high-stakes academic decisions including advancement certification or disciplinary action",MISSING,2,2
TEC-EDU-005,TEC,EDU,"Students have the right to human review of AI-influenced grading or evaluation decisions",MISSING,2,2
TEC-EDU-006,TEC,EDU,"Educational institutions must establish clear policies on AI use that promote learning and prevent misuse without relying on unreliable detection systems",MISSING,2,2
TEC-EDU-007,TEC,EDU,"AI systems used in education must be evaluated for bias and must not disadvantage students based on race gender disability socioeconomic status or language background",MISSING,2,2
TEC-EDU-008,TEC,EDU,"AI tools used in education must be accessible to all students and may not create or reinforce educational inequality",MISSING,2,2
TEC-EDU-009,TEC,EDU,"Student data collected by AI systems must be limited to what is necessary for educational purposes",MISSING,2,2
TEC-EDU-010,TEC,EDU,"Student data may not be sold shared or used for advertising profiling or unrelated commercial purposes",MISSING,2,2
TEC-EDU-011,TEC,EDU,"Enhanced privacy protections are required for minors using AI systems in educational settings",MISSING,2,2
TEC-EDU-012,TEC,EDU,"Ban use of AI systems for invasive surveillance of students including continuous monitoring behavioral tracking or biometric analysis without strict justification and safeguards",MISSING,2,2
TEC-EDU-013,TEC,EDU,"AI systems may not be used to infer student emotions attention or psychological state for evaluation or discipline",MISSING,2,2
TEC-EDU-014,TEC,EDU,"Educational institutions may not use AI systems to assign behavioral or compliance scores to students",MISSING,2,2
TEC-EDU-015,TEC,EDU,"AI-generated educational content must be clearly identified and its limitations disclosed",MISSING,2,2
TEC-EDU-016,TEC,EDU,"AI systems may not be used to impose ideological viewpoints or manipulate educational content without transparency and oversight",MISSING,2,2
TEC-EDU-017,TEC,EDU,"Educational use of AI must support development of critical thinking rather than passive consumption of generated answers",MISSING,2,2
TEC-EDU-018,TEC,EDU,"AI may be used to improve accessibility for students with disabilities including translation transcription and adaptive learning tools",MISSING,2,2
TEC-EDU-019,TEC,EDU,"AI systems should support multilingual education and reduce language barriers without compromising accuracy or fairness",MISSING,2,2
TEC-EDU-020,TEC,EDU,"Educational institutions must disclose use of AI systems in teaching evaluation and administration",MISSING,2,2
TEC-EDU-021,TEC,EDU,"AI systems used in education must be subject to regular independent audits for bias accuracy and educational impact",MISSING,2,2
TEC-EDU-022,TEC,EDU,"Vendors providing AI systems to educational institutions may not use proprietary claims to avoid oversight or accountability",MISSING,2,2
TEC-EDU-023,TEC,EDU,"AI systems must demonstrate educational benefit through evidence before widespread deployment in classrooms",MISSING,2,2
TEC-EDU-024,TEC,EDU,"Students may not be used as unwitting test subjects for AI systems without informed consent and appropriate safeguards",MISSING,2,2
TEC-ENV-001,TEC,ENV,"AI systems and infrastructure must not externalize environmental costs and must operate within sustainable limits for energy water materials and ecological impact",MISSING,2,2
TEC-ENV-002,TEC,ENV,"Large-scale AI systems and data centers must meet strict carbon neutrality or carbon-negative requirements over their full lifecycle",MISSING,2,2
TEC-ENV-003,TEC,ENV,"Operators of large AI systems must publicly disclose energy usage sources emissions and efficiency metrics",MISSING,2,2
TEC-ENV-004,TEC,ENV,"High-consumption AI infrastructure must supply or offset its energy usage through dedicated renewable or low-impact sources rather than relying on general grid extraction",MISSING,2,2
TEC-ENV-005,TEC,ENV,"AI infrastructure operators must disclose water usage including cooling consumption and local environmental impact",MISSING,2,2
TEC-ENV-006,TEC,ENV,"AI systems must not disproportionately strain local water resources particularly in drought-prone or vulnerable regions",MISSING,2,2
TEC-ENV-007,TEC,ENV,"Materials used in AI hardware including rare earth elements must be sourced under strict environmental and labor standards",MISSING,2,2
TEC-ENV-008,TEC,ENV,"AI hardware producers must be responsible for full lifecycle impacts including manufacturing durability and end-of-life disposal",MISSING,2,2
TEC-ENV-009,TEC,ENV,"AI-related hardware must meet durability repairability and reuse standards to reduce electronic waste",MISSING,2,2
TEC-ENV-010,TEC,ENV,"Operators must implement responsible recycling and disposal programs for AI hardware and infrastructure components",MISSING,2,2
TEC-ENV-011,TEC,ENV,"Companies developing or deploying AI systems must internalize environmental costs rather than shifting them to the public or ecosystems",MISSING,2,2
TEC-ENV-012,TEC,ENV,"Large-scale AI deployments must undergo environmental impact assessments prior to construction or expansion",MISSING,2,2
TEC-ENV-013,TEC,ENV,"AI should be used to support climate modeling environmental monitoring and mitigation efforts under transparent and accountable frameworks",MISSING,2,2
TEC-ENV-014,TEC,ENV,"AI may be used to optimize energy water and resource usage provided it does not create hidden environmental tradeoffs or inequitable impacts",MISSING,2,2
TEC-ENV-015,TEC,ENV,"AI systems may support modernization of electrical grids microgrids and renewable energy systems while maintaining transparency and public accountability",MISSING,2,2
TEC-ENV-016,TEC,ENV,"AI companies may not misrepresent environmental impact through selective reporting offsets or unverifiable sustainability claims",MISSING,2,2
TEC-ENV-017,TEC,ENV,"Environmental reporting for AI systems must follow standardized verifiable metrics to prevent manipulation or selective disclosure",MISSING,2,2
TEC-ENV-018,TEC,ENV,"AI infrastructure may not disproportionately locate environmental burdens in disadvantaged communities or regions",MISSING,2,2
TEC-ENV-019,TEC,ENV,"Environmental costs of AI supply chains must not be offloaded to developing regions without equivalent protections and standards",MISSING,2,2
TEC-ENV-020,TEC,ENV,"AI infrastructure policy must integrate with national energy grid modernization renewable investment and public infrastructure strategies",MISSING,2,2
TEC-ENV-021,TEC,ENV,"Establish standards for noise pollution from AI data centers and other large data centers including monitoring mitigation and local community protections",MISSING,2,2
TEC-FIN-001,TEC,FIN,"AI systems in finance credit and insurance must not undermine fairness transparency equal access or protection from discrimination in essential economic systems",MISSING,2,2
TEC-FIN-002,TEC,FIN,"AI systems may not independently deny credit loans mortgages refinancing or other essential financial services without direct human review and accountability",MISSING,2,2
TEC-FIN-003,TEC,FIN,"Any decision that would deny restrict or materially worsen access to credit or lending must be made directly and independently by a qualified human reviewer before harm occurs",MISSING,2,2
TEC-FIN-004,TEC,FIN,"AI systems used in underwriting or creditworthiness assessments may not rely on opaque or unexplainable criteria that materially affect outcomes",MISSING,2,2
TEC-FIN-005,TEC,FIN,"AI systems in finance and insurance must not discriminate based on protected characteristics or proxies for those characteristics including zip code language behavior or network data",MISSING,2,2
TEC-FIN-006,TEC,FIN,"AI systems used in lending underwriting pricing or claims decisions must be regularly audited for disparate impact and discriminatory outcomes",MISSING,2,2
TEC-FIN-007,TEC,FIN,"AI systems may not independently deny restrict reduce or terminate insurance coverage or claims without direct and independent human review",MISSING,2,2
TEC-FIN-008,TEC,FIN,"Human reviewers in insurance decisions may not rely solely on AI-generated recommendations and must exercise independent judgment",MISSING,2,2
TEC-FIN-009,TEC,FIN,"AI systems may be used to assist or expedite approval of insurance claims or coverage but may not be used as the primary basis for denial restriction or reduction",MISSING,2,2
TEC-FIN-010,TEC,FIN,"Absence of AI approval or recommendation may not be used as evidence or implicit justification for denial restriction or delay of insurance claims or coverage",MISSING,2,2
TEC-FIN-011,TEC,FIN,"AI systems may not use generalized behavioral surveillance or social scoring to determine eligibility pricing or access in finance credit or insurance",MISSING,2,2
TEC-FIN-012,TEC,FIN,"Risk scoring in finance and insurance must be based on transparent lawful and relevant factors and may not rely on opaque behavioral inference",MISSING,2,2
TEC-FIN-013,TEC,FIN,"AI systems may not use individualized vulnerability profiling to impose exploitative pricing rates fees or terms",MISSING,2,2
TEC-FIN-014,TEC,FIN,"AI systems used in mortgage housing finance or rental screening must not undermine fair access to housing or reproduce historical discrimination",MISSING,2,2
TEC-FIN-015,TEC,FIN,"Tenant screening and housing-related AI systems may not rely on opaque scoring or unverifiable data that materially affect housing access",MISSING,2,2
TEC-FIN-016,TEC,FIN,"People have the right to a meaningful explanation of AI-influenced financial credit or insurance decisions affecting them",MISSING,2,2
TEC-FIN-017,TEC,FIN,"People must have access to a timely human appeal process for materially adverse AI-influenced financial credit or insurance decisions",MISSING,2,2
TEC-FIN-018,TEC,FIN,"Entities using AI in consequential financial or insurance decisions must disclose when such systems materially influence outcomes",MISSING,2,2
TEC-FIN-019,TEC,FIN,"AI systems in finance and insurance may collect only data that is strictly necessary for lawful and relevant decision-making",MISSING,2,2
TEC-FIN-020,TEC,FIN,"Financial and insurance data used by AI systems may not be sold shared or repurposed for unrelated commercial targeting or behavioral profiling",MISSING,2,2
TEC-FIN-021,TEC,FIN,"Entities may not secretly enrich financial or insurance profiles with third-party consumer data social graph data or surveillance-derived data without explicit lawful authority and disclosure",MISSING,2,2
TEC-FIN-022,TEC,FIN,"AI systems may not be used to create cross-system denial loops where credit insurance housing or public-benefit decisions reinforce each other without independent review and due process",MISSING,2,2
TEC-FIN-023,TEC,FIN,"AI systems used in finance credit and insurance must be subject to regular independent audits for bias fairness legality and consumer harm",MISSING,2,2
TEC-FIN-024,TEC,FIN,"Trade secrecy or proprietary claims may not be used to prevent meaningful oversight explanation or appeal in consequential financial or insurance AI systems",MISSING,2,2
TEC-FIN-025,TEC,FIN,"Entities deploying consequential AI systems in finance and insurance must maintain documentation sufficient for review audit and accountability",MISSING,2,2
TEC-FIN-026,TEC,FIN,"AI systems may not be used to identify and exploit financially vulnerable individuals through targeted loans fees insurance terms or sales practices",MISSING,2,2
TEC-FIN-027,TEC,FIN,"AI systems in finance and insurance may not impersonate human advisors or misrepresent their authority capabilities or obligations to consumers",MISSING,2,2
TEC-FIN-028,TEC,FIN,"Where finance credit or insurance systems function as essential gateways to housing healthcare transportation or economic participation they must be governed by heightened public-interest standards",MISSING,2,2
TEC-FIN-029,TEC,FIN,"AI systems must not be allowed to automatically exclude people from essential economic systems needed for basic social participation",MISSING,2,2
TEC-GOV-001,TEC,GOV,"AI systems used by government or public-service entities must not undermine due process equal protection transparency accountability or access to rights and services",MISSING,2,2
TEC-GOV-002,TEC,GOV,"AI systems may not independently deny terminate reduce or suspend access to public benefits services or legal status determinations",MISSING,2,2
TEC-GOV-003,TEC,GOV,"Any decision that would deny reduce terminate or delay benefits services or rights must be made directly and independently by a qualified human decision-maker before harm occurs",MISSING,2,2
TEC-GOV-004,TEC,GOV,"Human reviewers may not rely solely on AI-generated recommendations when making public-service or benefits decisions and must exercise independent judgment",MISSING,2,2
TEC-GOV-005,TEC,GOV,"AI systems may be used to help identify likely eligibility or expedite approvals but may not be used as the primary basis for denial reduction or termination of benefits or services",MISSING,2,2
TEC-GOV-006,TEC,GOV,"Individuals have the right to a meaningful explanation of any AI-influenced government decision affecting benefits services legal status or access to rights",MISSING,2,2
TEC-GOV-007,TEC,GOV,"Individuals must have a timely accessible appeal process before a human decision-maker for any materially adverse AI-influenced government decision",MISSING,2,2
TEC-GOV-008,TEC,GOV,"Government agencies must clearly disclose when AI systems materially influence decisions affecting the public",MISSING,2,2
TEC-GOV-009,TEC,GOV,"Government may not use AI systems to assign generalized risk trustworthiness fraud or compliance scores to individuals for access to public services or rights",MISSING,2,2
TEC-GOV-010,TEC,GOV,"Government AI systems may not use protected characteristics or their proxies to infer eligibility suspicion dangerousness or worthiness",MISSING,2,2
TEC-GOV-011,TEC,GOV,"Government may not use AI systems to monitor or score behavioral conformity ideological alignment or social desirability as a condition of access to services or benefits",MISSING,2,2
TEC-GOV-012,TEC,GOV,"People must retain access to human government representatives for matters involving benefits legal status healthcare housing education or essential public services",MISSING,2,2
TEC-GOV-013,TEC,GOV,"Government may not force individuals into AI-only service channels where lack of human access would impair fairness comprehension or ability to contest decisions",MISSING,2,2
TEC-GOV-014,TEC,GOV,"AI-enabled public services must be accessible to disabled low-income elderly and limited-English-proficiency users and may not create new access barriers",MISSING,2,2
TEC-GOV-015,TEC,GOV,"AI systems may not be used to deny disability benefits or override licensed medical evidence without transparent human review and due process",MISSING,2,2
TEC-GOV-016,TEC,GOV,"Government may not use AI systems to conduct mass fraud sweeps or suspicion-based benefits enforcement without individualized legal standards and human review",MISSING,2,2
TEC-GOV-017,TEC,GOV,"AI systems may not automatically terminate housing food healthcare disability or income-support benefits based on scoring anomalies or probabilistic inference",MISSING,2,2
TEC-GOV-018,TEC,GOV,"AI systems may not independently determine immigration status detention deportation asylum credibility or family reunification outcomes",MISSING,2,2
TEC-GOV-019,TEC,GOV,"Government may not use AI systems to infer truthfulness credibility intent or dangerousness in immigration or asylum contexts",MISSING,2,2
TEC-GOV-020,TEC,GOV,"Any AI-influenced immigration or detention decision must be reviewed and decided by a human official subject to due process and judicial oversight",MISSING,2,2
TEC-GOV-021,TEC,GOV,"Private vendors and contractors supplying AI systems to government are subject to the same legal constitutional and ethical constraints as the government entities using them",MISSING,2,2
TEC-GOV-022,TEC,GOV,"Trade secrecy or proprietary claims may not be used to prevent meaningful oversight explanation or appeal for AI systems used in public decision-making",MISSING,2,2
TEC-GOV-023,TEC,GOV,"Government procurement of AI systems must include public disclosure of purpose capabilities limitations oversight structure and vendor conflicts of interest",MISSING,2,2
TEC-GOV-024,TEC,GOV,"Government AI systems must undergo regular independent audits for legality accuracy bias rights impacts and administrative fairness",MISSING,2,2
TEC-GOV-025,TEC,GOV,"All materially consequential government AI systems must be listed in a public registry with clear descriptions of use authority and oversight",MISSING,2,2
TEC-GOV-026,TEC,GOV,"Government AI systems affecting rights benefits or legal status must include sunset dates and periodic reauthorization requirements",MISSING,2,2
TEC-GOV-027,TEC,GOV,"Government agencies may not deploy consequential AI systems without explicit legal authority and defined limits on scope and use",MISSING,2,2
TEC-GOV-028,TEC,GOV,"Government may not use the public as unwitting test subjects for consequential AI systems without lawful authority transparency and ethical safeguards",MISSING,2,2
TEC-GOV-029,TEC,GOV,"Individuals must be able to challenge not only a government AI decision but also the legality and validity of the system used to make it",MISSING,2,2
TEC-IMM-001,TEC,IMM,"Ban use of opaque or unreviewable AI systems in immigration enforcement detention or deportation decisions",MISSING,2,2
TEC-IMM-002,TEC,IMM,"Ban AI risk scoring systems used to justify immigration detention denial of release or family separation",MISSING,2,2
TEC-JUD-001,TEC,JUD,"AI systems may not be used to determine sentencing bail or punishment in criminal justice proceedings",MISSING,2,2
TEC-JUD-002,TEC,JUD,"AI systems may not assign risk scores for recidivism dangerousness or likelihood of compliance in judicial decision-making",MISSING,2,2
TEC-JUD-003,TEC,JUD,"AI systems may not be used to profile influence or select jurors based on behavioral psychological or demographic inference",MISSING,2,2
TEC-JUD-004,TEC,JUD,"AI-generated or AI-analyzed evidence must meet strict standards for reliability transparency and cross-examination before being admissible in court",MISSING,2,2
TEC-JUD-005,TEC,JUD,"Defendants and parties must have the right to examine challenge and obtain disclosure of AI systems used in evidentiary processes",MISSING,2,2
TEC-JUD-006,TEC,JUD,"AI may be used to assist in identifying wrongful convictions inconsistencies or procedural errors and to accelerate appeals and case reviews",MISSING,2,2
TEC-JUD-007,TEC,JUD,"AI should be used to identify systemic bias in sentencing policing and prosecution patterns to support corrective action",MISSING,2,2
TEC-JUD-008,TEC,JUD,"Judges and court staff may not rely on AI systems to make final determinations of fact law credibility or case outcome",MISSING,2,2
TEC-JUD-009,TEC,JUD,"AI may be used to assist with clerical summarization research and document organization only under clear disclosure and human verification requirements",MISSING,2,2
TEC-JUD-010,TEC,JUD,"Courts must disclose material use of AI in opinion drafting legal analysis record summarization or case management where it could affect litigants’ rights or case outcomes",MISSING,2,2
TEC-JUD-011,TEC,JUD,"AI systems may not be used to prioritize dockets motions or hearings in ways that create unfairness bias or unequal access to timely justice",MISSING,2,2
TEC-JUD-012,TEC,JUD,"Any AI-assisted judicial workflow must preserve a human-authored accountable and reviewable chain of reasoning for consequential rulings",MISSING,2,2
TEC-JUD-013,TEC,JUD,"AI-generated or AI-enhanced evidence must be authenticated with documented provenance methodology and chain of custody before admissibility",MISSING,2,2
TEC-JUD-014,TEC,JUD,"Parties must receive sufficient technical disclosure to challenge the reliability validity and limitations of AI-generated or AI-analyzed evidence",MISSING,2,2
TEC-JUD-015,TEC,JUD,"Courts may not admit AI outputs as expert-like evidence unless their methods are scientifically valid independently testable and subject to adversarial challenge",MISSING,2,2
TEC-JUD-016,TEC,JUD,"Synthetic media evidence must be presumptively treated as high-risk and require enhanced authentication standards before admission",MISSING,2,2
TEC-JUD-017,TEC,JUD,"If AI is used to analyze evidence all material logs model assumptions and transformation steps relevant to the output must be preservable and reviewable",MISSING,2,2
TEC-JUD-018,TEC,JUD,"If prosecutors or the state use AI systems in investigation charging discovery or litigation support defendants must have equal access to the relevant outputs disclosures and technical challenge mechanisms",MISSING,2,2
TEC-JUD-019,TEC,JUD,"Public defenders and defense counsel must be provided funding and access sufficient to avoid AI-driven asymmetry between prosecution and defense",MISSING,2,2
TEC-JUD-020,TEC,JUD,"AI systems may not be used to pressure plea deals through opaque case scoring predicted conviction metrics or punishment leverage models",MISSING,2,2
TEC-JUD-021,TEC,JUD,"Courts must guard against prosecutorial advantage created by proprietary or undisclosed AI tools unavailable to defense",MISSING,2,2
TEC-JUD-022,TEC,JUD,"AI systems may not be used to profile rank influence or strategically shape juror selection based on behavioral psychological or demographic inference",MISSING,2,2
TEC-JUD-023,TEC,JUD,"AI-generated reconstructions simulations or visualizations shown to juries must be clearly disclosed as generated demonstrative material and subject to strict admissibility standards",MISSING,2,2
TEC-JUD-024,TEC,JUD,"Courts may not provide juries with AI-generated summaries interpretations or credibility assessments of testimony or evidence",MISSING,2,2
TEC-JUD-025,TEC,JUD,"Jury-facing use of AI must not distort the evidentiary record or create false impressions of certainty precision or neutrality",MISSING,2,2
TEC-JUD-026,TEC,JUD,"AI use in courts and legal proceedings must default to prohibition except where narrowly permitted for transparent auditable non-generative analytical purposes under strict human oversight",MISSING,2,2
TEC-JUD-027,TEC,JUD,"AI-generated or AI-fabricated evidence including images video audio text or reconstructions is not admissible in legal proceedings",MISSING,2,2
TEC-JUD-028,TEC,JUD,"AI-enhanced evidence that alters interpretation content or meaning of underlying evidence is not admissible",MISSING,2,2
TEC-JUD-029,TEC,JUD,"AI may be used only for analytical purposes on existing evidence where it does not generate new content and does not alter underlying data",MISSING,2,2
TEC-JUD-030,TEC,JUD,"Generative AI systems including large language models may not be used for evidentiary analysis in legal proceedings",MISSING,2,2
TEC-JUD-031,TEC,JUD,"Permitted analytical systems must use verifiable reproducible methods such as statistical or traditional machine learning models rather than generative systems",MISSING,2,2
TEC-JUD-032,TEC,JUD,"Any use of AI in evidence analysis must be explicitly disclosed including methods data inputs limitations and error rates",MISSING,2,2
TEC-JUD-033,TEC,JUD,"Black-box AI systems that cannot be meaningfully explained tested or challenged are not admissible in evidentiary contexts",MISSING,2,2
TEC-JUD-034,TEC,JUD,"AI systems may not be presented as expert witnesses or as authoritative sources in legal proceedings",MISSING,2,2
TEC-JUD-035,TEC,JUD,"All expert testimony must be provided by qualified human experts who are accountable for their conclusions",MISSING,2,2
TEC-JUD-036,TEC,JUD,"Human experts using AI-assisted analysis must disclose such use and remain fully responsible for all conclusions",MISSING,2,2
TEC-JUD-037,TEC,JUD,"Judges and justices may not use generative AI systems to draft write or materially shape judicial opinions or rulings",MISSING,2,2
TEC-JUD-038,TEC,JUD,"AI systems may not substitute for judicial reasoning legal analysis or interpretation of law",MISSING,2,2
TEC-JUD-039,TEC,JUD,"AI may be used for limited clerical tasks such as document organization or formatting only when it does not affect legal reasoning or outcomes",MISSING,2,2
TEC-JUD-040,TEC,JUD,"AI-generated reconstructions simulations or demonstrative materials may not be shown to juries",MISSING,2,2
TEC-JUD-041,TEC,JUD,"AI systems may not be used to summarize interpret or present evidence or testimony to juries",MISSING,2,2
TEC-JUD-042,TEC,JUD,"AI systems may not be used to influence juror perception behavior or decision-making directly or indirectly",MISSING,2,2
TEC-JUD-043,TEC,JUD,"Courts must recognize that AI systems can amplify confirmation bias hallucination and false certainty and must treat AI outputs as inherently high-risk",MISSING,2,2
TEC-JUD-044,TEC,JUD,"Any permitted AI-assisted analysis must meet elevated standards of reliability scrutiny and adversarial testing beyond traditional evidence",MISSING,2,2
TEC-JUD-045,TEC,JUD,"All parties must have full rights to challenge any AI-assisted analysis including methodology assumptions and outputs",MISSING,2,2
