policyos_rule_id,scope_code,family_code,layer_type,rule_text,primary_foundation,applies_to,status
PLOS-KERN-0001,SYS,KERN,kernel,"The platform must remain complete, internally consistent, and auditable across pillars, implementation rules, and enforcement design.",Accountable Power + Real Freedom,"All pillars",DRAFT_1_0
PLOS-KERN-0002,SYS,KERN,kernel,"No person, office, agency, court, corporation, or contractor may be placed beyond the law or beyond accountability under the law.",Accountable Power,"All pillars",DRAFT_1_0
PLOS-KERN-0003,SYS,KERN,kernel,"Fundamental rights attach to all persons under United States jurisdiction and may not be reduced except where a distinction is explicit, narrow, reviewable, and rights-preserving.",Equal Justice + Real Freedom,"All pillars",DRAFT_1_0
PLOS-KERN-0004,SYS,KERN,kernel,"No system may concentrate unchecked power in any public or private actor without independent oversight, enforcement, review, and removal mechanisms.",Accountable Power + Clean Democracy,"All pillars",DRAFT_1_0
PLOS-KERN-0005,SYS,KERN,kernel,"All exercises of state or delegated authority must be attributable, logged, auditable, and reviewable.",Accountable Power,"All pillars",DRAFT_1_0
PLOS-KERN-0006,SYS,KERN,kernel,"Government authority may not be delegated to private actors in ways that reduce accountability, transparency, due process, or rights protection.",Accountable Power + Equal Justice,"All pillars",DRAFT_1_0
PLOS-KERN-0007,SYS,KERN,kernel,"Any system that affects rights, liberty, safety, access, or eligibility must be transparent, auditable, and explainable to affected people and to the public at the level appropriate to the risk.",Real Freedom + Accountable Power,"All pillars",DRAFT_1_0
PLOS-KERN-0008,SYS,KERN,kernel,"No system may use hidden rules, inaccessible information, trade-secret shields, or black-box procedures to determine consequential outcomes.",Real Freedom + Equal Justice,"All pillars",DRAFT_1_0
PLOS-KERN-0009,SYS,KERN,kernel,"Public decision-making must be grounded in verifiable evidence and clearly defined standards rather than secrecy, arbitrary discretion, or ideology masquerading as process.",Accountable Power,"All pillars",DRAFT_1_0
PLOS-KERN-0010,SYS,KERN,kernel,"No system may make or materially influence adverse decisions affecting rights, liberty, or essential access without meaningful human accountability and review.",Equal Justice + Real Freedom,"All pillars",DRAFT_1_0
PLOS-KERN-0011,SYS,KERN,kernel,"Systems may assist in analysis, triage, and efficiency, but they may not replace accountable human judgment in consequential decisions.",Real Freedom,"All pillars",DRAFT_1_0
PLOS-KERN-0012,SYS,KERN,kernel,"Systems must be designed to prevent bias amplification, structural unfairness, and asymmetrical process design, including fast-approval and slow-denial patterns.",Equal Justice,"All pillars",DRAFT_1_0
PLOS-KERN-0013,SYS,KERN,kernel,"Every consequential decision system must include mechanisms for challenge, appeal, correction, pause, and independent review.",Equal Justice + Accountable Power,"All pillars",DRAFT_1_0
PLOS-KERN-0014,SYS,KERN,kernel,"Access to rights and essential public systems may not be defeated in practice through administrative burden, delay, opacity, cost, or procedural complexity.",Equal Justice + Freedom to Thrive,"All pillars",DRAFT_1_0
PLOS-KERN-0015,SYS,KERN,kernel,"Systems must be designed to prevent foreseeable abuse, exploitation, corruption, and rights-violating failure modes rather than merely punishing them after harm occurs.",Accountable Power + Equal Justice,"All pillars",DRAFT_1_0
PLOS-KERN-0016,SYS,KERN,kernel,"No system may rely on deprivation, coercion, fear, or chronic precarity as a primary mechanism of compliance or control.",Freedom to Thrive + Equal Justice,"All pillars",DRAFT_1_0
PLOS-KERN-0017,SYS,KERN,kernel,"Incentive structures may not reward denial, extraction, concealment, or deprivation of rights or essential services.",Clean Democracy + Freedom to Thrive,"All pillars",DRAFT_1_0
PLOS-KERN-0018,SYS,KERN,kernel,"Laws and policy rules must be written in clear, enforceable language with defined scope, intent, triggers, and application standards.",Accountable Power,"All pillars",DRAFT_1_0
PLOS-KERN-0019,SYS,KERN,kernel,"Every consequential law or policy framework must include a plain-language summary of purpose, design logic, and real-world effect.",Real Freedom + Clean Democracy,"All pillars",DRAFT_1_0
PLOS-KERN-0020,SYS,KERN,kernel,"Rules must be reviewed before enactment for conflicts, loopholes, exploit paths, contradictory incentives, and foreseeable abuse patterns.",Accountable Power,"All pillars",DRAFT_1_0
PLOS-KERN-0021,SYS,KERN,kernel,"Systems must be periodically reviewed for obsolescence, ambiguity, under-enforcement, and changed technological or social conditions.",Accountable Power,"All pillars",DRAFT_1_0
PLOS-KERN-0022,SYS,KERN,kernel,"Laws and systems must be designed to adapt to technological and societal change without requiring crisis-driven overhaul.",Accountable Power + Real Freedom,"All pillars",DRAFT_1_0
PLOS-KERN-0023,SYS,KERN,kernel,"No system may persist in a known broken or harmful state due to political inertia, administrative convenience, or procedural barriers to repair.",Accountable Power,"All pillars",DRAFT_1_0
PLOS-KERN-0024,SYS,KERN,kernel,"Systems must be stress-tested against bad actors, misuse, edge cases, gaming, fraud, and failure scenarios before and after deployment.",Accountable Power + Real Freedom,"All pillars",DRAFT_1_0
PLOS-KERN-0025,SYS,KERN,kernel,"Systems must include safeguards against gaming, manipulation, and strategic exploitation.",Accountable Power + Clean Democracy,"All pillars",DRAFT_1_0
PLOS-KERN-0026,SYS,KERN,kernel,"When systemic failure patterns are identified, mandatory corrective action, public reporting, and independent review must be triggered.",Accountable Power,"All pillars",DRAFT_1_0
PLOS-GEOG-0001,SYS,GEOG,overlay,"Fundamental rights and essential services may not vary by geography in ways that create unequal classes of people.",Equal Justice + Real Freedom,"Pillars where state, local, or regional variation affects access",DRAFT_1_0
PLOS-GEOG-0002,SYS,GEOG,overlay,"Where systems are decentralized, national standards must guarantee baseline equality, enforceable access, and rights protection.",Equal Justice + Accountable Power,"Pillars with decentralized delivery or administration",DRAFT_1_0
PLOS-GEOG-0003,SYS,GEOG,overlay,"Practical access to healthcare, justice, education, voting, and other core public systems may not be undermined by distance, delay, administrative burden, or local noncompliance.",Freedom to Thrive + Equal Justice,"Healthcare, education, rights, justice, elections, public goods",DRAFT_1_0
PLOS-GEOG-0004,SYS,GEOG,overlay,"Where local access fails, cross-jurisdiction access and travel support must be available when necessary to make the right usable in practice.",Freedom to Thrive + Real Freedom,"Healthcare, rights, justice, education",DRAFT_1_0
PLOS-FEDR-0001,SYS,FEDR,overlay,"High-risk systems should not create single-point centralization where distributed control and independent counterweights are needed to prevent abuse or systemic failure.",Accountable Power,"Pillars with elections, justice, data, surveillance, or major public infrastructure implications",DRAFT_1_0
PLOS-FEDR-0002,SYS,FEDR,overlay,"Where authority is distributed across levels of government, national baselines must protect equal rights and access, while administration may remain decentralized only where that structure reduces concentration risk without undermining enforceability, auditability, reviewability, or practical equality.",Accountable Power + Equal Justice,"Elections, justice, service delivery, selected public systems",DRAFT_1_0
PLOS-FEDR-0003,SYS,FEDR,overlay,"High-risk public systems must include multiple independent oversight layers and safeguards against both subnational abuse and federal abuse.",Accountable Power,"Pillars with coercive state power or sensitive infrastructure",DRAFT_1_0
PLOS-FEDR-0004,SYS,FEDR,overlay,"Legal and institutional design must balance anti-centralization with enforceable national equality baselines rather than treating either local control or federal control as an absolute good.",Accountable Power + Clean Democracy,"Checks, elections, administrative state, public goods",DRAFT_1_0
PLOS-REGD-0001,SYS,REGD,overlay,"Regulation must protect safety, quality, fairness, durability, and the public interest; it may not be weakened solely to reduce cost or increase private profit.",Freedom to Thrive + Clean Democracy,"Regulated pillars",DRAFT_1_0
PLOS-REGD-0002,SYS,REGD,overlay,"Regulatory systems must distinguish between genuine protections and rules that mainly create delay, exclusion, arbitrary gatekeeping, or artificial scarcity.",Clean Democracy + Freedom to Thrive,"Regulated pillars",DRAFT_1_0
PLOS-REGD-0003,SYS,REGD,overlay,"Removal or weakening of safeguards must be evidence-based and must preserve or improve the underlying protection in practice.",Freedom to Thrive + Accountable Power,"Regulated pillars",DRAFT_1_0
PLOS-REGD-0004,SYS,REGD,overlay,"Regulatory processes may not be structured to create opacity, arbitrary discretion, or exploitative gatekeeping that enables abuse.",Clean Democracy + Equal Justice,"Regulated pillars",DRAFT_1_0
PLOS-REGD-0005,SYS,REGD,overlay,"Regulatory systems must include anti-capture safeguards, independent oversight, public transparency, and limits on industry influence over rulemaking and enforcement.",Clean Democracy,"Regulated pillars",DRAFT_1_0
PLOS-REGD-0006,SYS,REGD,overlay,"Rules that are symbolic, systematically under-enforced, or widely violated in practice are system failures and must be corrected.",Accountable Power + Clean Democracy,"Regulated pillars",DRAFT_1_0
PLOS-REGD-0007,SYS,REGD,overlay,"Regulatory frameworks must be periodically reviewed to remove rules that do not serve a legitimate public-interest function while strengthening those that do.",Accountable Power + Clean Democracy,"Regulated pillars",DRAFT_1_0
PLOS-ENFA-0001,SYS,ENFA,overlay,"High-risk systems must maintain auditable records, standardized reporting, and evidence trails sufficient for investigation, challenge, appeal, and enforcement.",Accountable Power + Real Freedom,"High-risk or heavily regulated pillars",DRAFT_1_0
PLOS-ENFA-0002,SYS,ENFA,overlay,"Where risk, scale, or public harm warrants it, compliance systems may require both internal controls and independent third-party audit or review.",Accountable Power + Clean Democracy,"High-risk or heavily regulated pillars",DRAFT_1_0
PLOS-ENFA-0003,SYS,ENFA,overlay,"Enforcement systems should monitor for fraud, concealment, recurring violations, and systemic abuse patterns rather than relying only on complaint-driven detection.",Accountable Power + Clean Democracy,"High-risk or heavily regulated pillars",DRAFT_1_0
PLOS-ENFA-0004,SYS,ENFA,overlay,"Repeated or systemic violations must trigger escalating intervention, which may include corrective orders, fines, operating restrictions, structural remedies, suspension, or removal of authority where proportionate.",Accountable Power + Equal Justice,"High-risk or heavily regulated pillars",DRAFT_1_0
PLOS-ENFA-0005,SYS,ENFA,overlay,"Liability may extend to responsible individuals where deliberate misconduct, gross negligence, fraud, or failure of oversight is established with due process and clear evidentiary standards.",Accountable Power + Clean Democracy,"High-risk or heavily regulated pillars",DRAFT_1_0
PLOS-AIGV-0001,SYS,AIGV,overlay,"AI systems that materially affect rights, safety, access, or public decision-making must maintain provenance records sufficient for audit, challenge, accountability, and incident reconstruction.",Real Freedom + Accountable Power,"Technology and AI plus any pillar using consequential AI",DRAFT_1_0
PLOS-AIGV-0002,SYS,AIGV,overlay,"AI-generated or AI-modified content used in consequential contexts must be clearly labeled where feasible, and unlabeled use in high-risk contexts is prohibited.",Real Freedom,"Technology and AI plus any pillar using consequential AI",DRAFT_1_0
PLOS-AIGV-0003,SYS,AIGV,overlay,"AI may not silently replace legally or professionally required human judgment in medicine, law, education, public administration, or other protected domains.",Real Freedom + Equal Justice,"Technology and AI plus healthcare, justice, education, administrative state",DRAFT_1_0
PLOS-AIGV-0004,SYS,AIGV,overlay,"High-impact AI systems must be subject to pre-deployment assessment, ongoing monitoring, incident reporting, and mandatory disclosure of material failures or rights violations.",Real Freedom + Accountable Power,"Technology and AI plus any pillar using consequential AI",DRAFT_1_0
PLOS-AIGV-0005,SYS,AIGV,overlay,"AI governance must include third-party auditability, independent review, and post-deployment corrective action; self-attestation alone is insufficient.",Accountable Power,"Technology and AI plus any pillar using consequential AI",DRAFT_1_0
PLOS-AIGV-0006,SYS,AIGV,overlay,"High-capability AI obligations must scale with capability, autonomy, deployment scope, and misuse or catastrophic-risk potential.",Real Freedom + Accountable Power,"Technology and AI",DRAFT_1_0
PLOS-AIGV-0007,SYS,AIGV,overlay,"Frontier or high-impact AI systems may not be deployed where catastrophic, systemic, or unreviewable risks cannot be sufficiently mitigated.",Real Freedom,"Technology and AI",DRAFT_1_0
PLOS-AIGV-0008,SYS,AIGV,overlay,"Affected individuals, regulators, and courts must be able to review rights-impacting AI systems without trade-secret claims swallowing accountability.",Real Freedom + Equal Justice,"Technology and AI plus any pillar using consequential AI",DRAFT_1_0
PLOS-AIGV-0009,SYS,AIGV,overlay,"AI policy must distinguish assistive use, advisory use, and delegated decision use, with stricter safeguards as autonomy and consequence increase.",Real Freedom,"Technology and AI plus any pillar using consequential AI",DRAFT_1_0
PLOS-AIGV-0010,SYS,AIGV,overlay,"Public procurement of AI must require rights-impact review, interoperability review, data-governance review, and post-deployment accountability obligations.",Accountable Power + Clean Democracy,"Administrative state, technology and AI, procurement-heavy pillars",DRAFT_1_0
PLOS-AIGV-0011,SYS,AIGV,overlay,"Release of high-capability AI models, weights, or tools must consider misuse risk, safety mitigations, and public-interest obligations proportional to capability.",Real Freedom + Accountable Power,"Technology and AI",DRAFT_1_0
PLOS-AIGV-0012,SYS,AIGV,overlay,"AI systems may not be used to impersonate identifiable people in ways that facilitate fraud, coercion, denial of rights, or severe reputational harm.",Real Freedom,"Technology and AI, consumer rights, information and media",DRAFT_1_0
PLOS-AIGV-0013,SYS,AIGV,overlay,"AI may be used to expand accessibility and disability support where it increases autonomy and access without replacing legally required accommodations or rights protections.",Real Freedom + Equal Justice,"Technology and AI, education, labor, healthcare",DRAFT_1_0
PLOS-AIGV-0014,SYS,AIGV,overlay,"AI systems must be built with non-optional safety, security, and misuse-prevention controls that cannot be disabled, bypassed, or overridden in ordinary operation.",Real Freedom + Accountable Power,"Technology and AI",DRAFT_1_0
PLOS-AIGV-0015,SYS,AIGV,overlay,"Any override of AI safety controls must be narrowly defined, federally approved in advance, time-limited, risk-ranked, scope-limited, mitigation-bound, and publicly disclosed except for tightly justified security confidentiality.",Accountable Power + Real Freedom,"Technology and AI",DRAFT_1_0
PLOS-AIGV-0016,SYS,AIGV,overlay,"AI developers and deployers must actively design, test, and update safeguards against misuse by bad actors and against newly identified failure patterns.",Real Freedom + Accountable Power,"Technology and AI",DRAFT_1_0
PLOS-AIGV-0017,SYS,AIGV,overlay,"A constitutionally established and funded public authority must regulate high-impact AI systems to prevent harm, misuse, and systemic risk.",Accountable Power + Clean Democracy,"Technology and AI, administrative state",DRAFT_1_0
PLOS-AIGV-0018,SYS,AIGV,overlay,"That authority must have power to establish, update, and enforce binding rules governing AI safety, deployment, auditing, procurement, and misuse prevention.",Accountable Power + Clean Democracy,"Technology and AI, administrative state",DRAFT_1_0
PLOS-AIGV-0019,SYS,AIGV,overlay,"That authority must operate with an adaptive mandate capable of responding to technological change, emerging risks, and newly identified failure patterns.",Accountable Power + Clean Democracy,"Technology and AI, administrative state",DRAFT_1_0
PLOS-AIGV-0020,SYS,AIGV,overlay,"Baseline safety, civil-rights, labor, economic, environmental, and societal protections for high-impact AI must be codified and actively enforced as minimum standards.",Accountable Power + Real Freedom,"Technology and AI, administrative state",DRAFT_1_0
PLOS-AIGV-0021,SYS,AIGV,overlay,"AI enforcement must be continuous, adequately resourced, and strong enough to prevent systemic harm rather than merely reacting after harm becomes entrenched.",Accountable Power + Clean Democracy,"Technology and AI, administrative state",DRAFT_1_0
