policyos_rule_id,scope_code,family_code,rule_text,primary_foundation,applies_to,source_basis,status
PLOS-CORE-0001,SYS,CORE,"The platform must remain complete, internally consistent, and auditable across pillars, implementation rules, and enforcement design.",Accountable Power + Real Freedom,"All pillars","Legacy SYS-RUL-001 plus source expansion in sources/political_project_brainstorm.txt:36591-36735",PROPOSED
PLOS-CORE-0002,SYS,CORE,"No person, office, agency, court, corporation, or contractor may be placed beyond the law or beyond accountability under the law.",Accountable Power,"All pillars","sources/political_project_brainstorm.txt:36591-36595",PROPOSED
PLOS-CORE-0003,SYS,CORE,"Fundamental rights attach to all persons under United States jurisdiction and may not be reduced except where a distinction is explicit, narrow, reviewable, and rights-preserving.",Equal Justice + Real Freedom,"All pillars","sources/political_project_brainstorm.txt:36595-36599",PROPOSED
PLOS-CORE-0004,SYS,CORE,"No system may concentrate unchecked power in any public or private actor without independent oversight, enforcement, review, and removal mechanisms.",Accountable Power + Clean Democracy,"All pillars","sources/political_project_brainstorm.txt:36603-36607",PROPOSED
PLOS-CORE-0005,SYS,CORE,"All exercises of state or delegated authority must be attributable, logged, auditable, and reviewable.",Accountable Power,"All pillars","sources/political_project_brainstorm.txt:36607-36611",PROPOSED
PLOS-CORE-0006,SYS,CORE,"Government authority may not be delegated to private actors in ways that reduce accountability, transparency, due process, or rights protection.",Accountable Power + Equal Justice,"All pillars","sources/political_project_brainstorm.txt:36611-36615",PROPOSED
PLOS-CORE-0007,SYS,CORE,"Systems must be designed to prevent regulatory capture, corruption, conflicts of interest, and self-protective institutional behavior before those failures occur.",Clean Democracy + Accountable Power,"All pillars","sources/political_project_brainstorm.txt:36615-36619; 38598-38602",PROPOSED
PLOS-SAFE-0001,SYS,SAFE,"Any system that affects rights, liberty, safety, access, or eligibility must be transparent, auditable, and explainable to affected people and to the public at the level appropriate to the risk.",Real Freedom + Accountable Power,"All pillars","sources/political_project_brainstorm.txt:36623-36631",PROPOSED
PLOS-SAFE-0002,SYS,SAFE,"No system may use hidden rules, inaccessible information, trade-secret shields, or black-box procedures to determine consequential outcomes.",Real Freedom + Equal Justice,"All pillars","sources/political_project_brainstorm.txt:36627-36631; 43560-43564",PROPOSED
PLOS-SAFE-0003,SYS,SAFE,"No system may make or materially influence adverse decisions affecting rights, liberty, or essential access without meaningful human accountability and review.",Equal Justice + Real Freedom,"All pillars","sources/political_project_brainstorm.txt:36639-36643",PROPOSED
PLOS-SAFE-0004,SYS,SAFE,"Systems may assist in analysis, triage, and efficiency, but they may not replace accountable human judgment in consequential decisions.",Real Freedom,"All pillars","sources/political_project_brainstorm.txt:36643-36647",PROPOSED
PLOS-SAFE-0005,SYS,SAFE,"Systems must be designed to prevent bias amplification, structural unfairness, and asymmetrical process design, including fast-approval and slow-denial patterns.",Equal Justice,"All pillars","sources/political_project_brainstorm.txt:36647-36651",PROPOSED
PLOS-SAFE-0006,SYS,SAFE,"Every consequential decision system must include mechanisms for challenge, appeal, correction, pause, and independent review.",Equal Justice + Accountable Power,"All pillars","sources/political_project_brainstorm.txt:36651-36655",PROPOSED
PLOS-SAFE-0007,SYS,SAFE,"Systems must be designed to prevent foreseeable abuse, exploitation, corruption, and rights-violating failure modes rather than merely punishing them after harm occurs.",Accountable Power + Equal Justice,"All pillars","sources/political_project_brainstorm.txt:36675-36679",PROPOSED
PLOS-SAFE-0008,SYS,SAFE,"No system may rely on deprivation, coercion, fear, or chronic precarity as a primary mechanism of compliance or control.",Freedom to Thrive + Equal Justice,"All pillars","sources/political_project_brainstorm.txt:36679-36683",PROPOSED
PLOS-SAFE-0009,SYS,SAFE,"Systems must be stress-tested against bad actors, misuse, edge cases, gaming, fraud, and failure scenarios before and after deployment.",Accountable Power + Real Freedom,"All pillars","sources/political_project_brainstorm.txt:36727-36731",PROPOSED
PLOS-SAFE-0010,SYS,SAFE,"Incentive structures may not reward denial, harm extraction, concealment, or deprivation of rights or essential services.",Clean Democracy + Freedom to Thrive,"All pillars","sources/political_project_brainstorm.txt:36683-36687",PROPOSED
PLOS-GEOG-0001,SYS,GEOG,"Fundamental rights and essential services may not vary by geography in ways that create unequal classes of people.",Equal Justice + Real Freedom,"All pillars","Legacy SYS-GEO-001 through SYS-GEO-005; sources/political_project_brainstorm.txt:36659-36667",PROPOSED
PLOS-GEOG-0002,SYS,GEOG,"Where systems are decentralized, national standards must guarantee baseline equality, enforceable access, and rights protection.",Equal Justice + Accountable Power,"All pillars","Legacy SYS-GEO-002 and SYS-GEO-003; sources/political_project_brainstorm.txt:36663-36667",PROPOSED
PLOS-GEOG-0003,SYS,GEOG,"Access to healthcare, justice, education, voting, and other core public systems must be practical in reality and may not be undermined through administrative burden, delay, distance, or complexity.",Freedom to Thrive + Equal Justice,"All pillars","sources/political_project_brainstorm.txt:36667-36671",PROPOSED
PLOS-GEOG-0004,SYS,GEOG,"Where local access fails, cross-jurisdiction access and travel support must be available when necessary to make the right usable in practice.",Freedom to Thrive + Real Freedom,"Healthcare, rights, justice, education","Legacy SYS-GEO-004 and SYS-GEO-005",PROPOSED
PLOS-ENFC-0001,SYS,ENFC,"Laws and policy rules must be written in clear, enforceable language with defined scope, intent, triggers, and application standards.",Accountable Power,"All pillars","sources/political_project_brainstorm.txt:36691-36695",PROPOSED
PLOS-ENFC-0002,SYS,ENFC,"Every consequential law or policy framework must include a plain-language summary of purpose, design logic, and real-world effect.",Real Freedom + Clean Democracy,"All pillars","sources/political_project_brainstorm.txt:36695-36699",PROPOSED
PLOS-ENFC-0003,SYS,ENFC,"Rules must be reviewed before enactment for conflicts, loopholes, exploit paths, contradictory incentives, and foreseeable abuse patterns.",Accountable Power,"All pillars","sources/political_project_brainstorm.txt:36699-36703",PROPOSED
PLOS-ENFC-0004,SYS,ENFC,"Enforcement must have real teeth, proportionate remedies, and escalation paths that match the severity, frequency, and impact of violations.",Accountable Power + Equal Justice,"All pillars","User prompt in current session plus sources/political_project_brainstorm.txt:36735; 38578-38606",PROPOSED
PLOS-ENFC-0005,SYS,ENFC,"Rules that are symbolic, systematically under-enforced, or widely violated in practice are system failures and must be corrected.",Accountable Power + Clean Democracy,"All pillars","sources/political_project_brainstorm.txt:38602-38606",PROPOSED
PLOS-ENFC-0006,SYS,ENFC,"When systemic failure patterns are identified, mandatory corrective action, public reporting, and independent review must be triggered.",Accountable Power,"All pillars","sources/political_project_brainstorm.txt:36731-36735",PROPOSED
PLOS-ENFC-0007,SYS,ENFC,"High-risk systems must maintain audit logs, standardized reporting, monitoring, and evidence trails sufficient for investigation, appeal, and enforcement.",Accountable Power + Real Freedom,"All pillars","User prompt in current session; sources/political_project_brainstorm.txt:43546-43554",PROPOSED
PLOS-ENFC-0008,SYS,ENFC,"Repeated or systemic violations must escalate from fines to structural intervention, market or operating restrictions, and individual liability where responsibility is clear and due process is provided.",Accountable Power + Clean Democracy,"All pillars","User prompt in current session; sources/political_project_brainstorm.txt:37123; 46293-46311",PROPOSED
PLOS-ADPT-0001,SYS,ADPT,"Systems must be periodically reviewed for obsolescence, ambiguity, under-enforcement, and changed technological or social conditions.",Accountable Power,"All pillars","sources/political_project_brainstorm.txt:36711-36719; 38606-38610",PROPOSED
PLOS-ADPT-0002,SYS,ADPT,"Laws and systems must be designed to adapt to technological and societal change without requiring crisis-driven overhaul.",Accountable Power + Real Freedom,"All pillars","sources/political_project_brainstorm.txt:36715-36719",PROPOSED
PLOS-ADPT-0003,SYS,ADPT,"No system may persist in a known broken or harmful state due to political inertia, administrative convenience, or procedural barriers to repair.",Accountable Power,"All pillars","sources/political_project_brainstorm.txt:36719-36723",PROPOSED
PLOS-REGD-0001,SYS,REGD,"Regulation must protect safety, quality, fairness, durability, and the public interest; it may not be weakened solely to reduce cost or increase private profit.",Freedom to Thrive + Clean Democracy,"All regulated pillars","sources/political_project_brainstorm.txt:38578-38582",PROPOSED
PLOS-REGD-0002,SYS,REGD,"Regulatory systems must distinguish between genuine protections and rules that mainly create delay, exclusion, arbitrary gatekeeping, or artificial scarcity.",Clean Democracy + Freedom to Thrive,"All regulated pillars","sources/political_project_brainstorm.txt:38582-38594",PROPOSED
PLOS-REGD-0003,SYS,REGD,"Removal or weakening of safeguards must be evidence-based and must preserve or improve the underlying protection in practice.",Freedom to Thrive + Accountable Power,"All regulated pillars","sources/political_project_brainstorm.txt:38586-38590",PROPOSED
PLOS-REGD-0004,SYS,REGD,"Regulatory processes may not be structured to create opacity, arbitrary discretion, or exploitative gatekeeping that enables abuse.",Clean Democracy + Equal Justice,"All regulated pillars","sources/political_project_brainstorm.txt:38590-38598",PROPOSED
PLOS-REGD-0005,SYS,REGD,"Regulatory systems must include anti-capture safeguards, independent oversight, public transparency, and limits on industry influence over rulemaking and enforcement.",Clean Democracy,"All regulated pillars","sources/political_project_brainstorm.txt:38598-38602",PROPOSED
PLOS-THRV-0001,SYS,THRV,"Policy design must preserve baseline security in healthcare, housing, food, clean water, clean air, and other essentials required for a dignified life.",Freedom to Thrive,"All pillars","User prompt in current session; foundations/freedom_to_thrive/values.md",PROPOSED
PLOS-THRV-0002,SYS,THRV,"Rights and services are not adequate if they are only formally available; policy must make them materially usable, accessible, and legible in practice.",Freedom to Thrive + Equal Justice,"All pillars","sources/political_project_brainstorm.txt:36667-36671; foundations/real_freedom/values.md",PROPOSED
PLOS-AIGV-0001,SYS,AIGV,"AI systems that materially affect rights, safety, access, or public decision-making must maintain provenance records sufficient for audit, challenge, accountability, and incident reconstruction.",Real Freedom + Accountable Power,"Technology and AI plus any pillar using AI","sources/political_project_brainstorm.txt:43546-43548",PROPOSED
PLOS-AIGV-0002,SYS,AIGV,"AI-generated or AI-modified content used in consequential contexts must be clearly labeled where feasible, and unlabeled use in high-risk contexts is prohibited.",Real Freedom,"Technology and AI plus any pillar using AI","sources/political_project_brainstorm.txt:43548-43550",PROPOSED
PLOS-AIGV-0003,SYS,AIGV,"AI may not silently replace legally or professionally required human judgment in medicine, law, education, public administration, or other protected domains.",Real Freedom + Equal Justice,"Technology and AI plus healthcare, justice, education, administrative state","sources/political_project_brainstorm.txt:43550-43552",PROPOSED
PLOS-AIGV-0004,SYS,AIGV,"High-impact AI systems must be subject to pre-deployment assessment, ongoing monitoring, incident reporting, and mandatory disclosure of material failures or rights violations.",Real Freedom + Accountable Power,"Technology and AI plus any pillar using AI","sources/political_project_brainstorm.txt:43552-43556",PROPOSED
PLOS-AIGV-0005,SYS,AIGV,"AI governance must include third-party auditability, independent review, and post-deployment corrective action; self-attestation alone is insufficient.",Accountable Power,"Technology and AI plus any pillar using AI","sources/political_project_brainstorm.txt:43556-43560",PROPOSED
PLOS-AIGV-0006,SYS,AIGV,"High-capability AI obligations must scale with capability, autonomy, deployment scope, and misuse or catastrophic-risk potential.",Real Freedom + Accountable Power,"Technology and AI","sources/political_project_brainstorm.txt:43556-43558; 43977-43982",PROPOSED
PLOS-AIGV-0007,SYS,AIGV,"Frontier or high-impact AI systems may not be deployed where catastrophic, systemic, or unreviewable risks cannot be sufficiently mitigated.",Real Freedom,"Technology and AI","sources/political_project_brainstorm.txt:43558-43560",PROPOSED
PLOS-AIGV-0008,SYS,AIGV,"Affected individuals, regulators, and courts must be able to review rights-impacting AI systems without trade-secret claims swallowing accountability.",Real Freedom + Equal Justice,"Technology and AI plus any pillar using AI","sources/political_project_brainstorm.txt:43560-43564",PROPOSED
PLOS-AIGV-0009,SYS,AIGV,"AI policy must distinguish assistive use, advisory use, and delegated decision use, with stricter safeguards as autonomy and consequence increase.",Real Freedom,"Technology and AI plus any pillar using AI","sources/political_project_brainstorm.txt:43564-43566",PROPOSED
PLOS-AIGV-0010,SYS,AIGV,"Public procurement of AI must require rights-impact review, interoperability review, data-governance review, and post-deployment accountability obligations.",Accountable Power + Clean Democracy,"Administrative state, technology and AI, procurement-heavy pillars","sources/political_project_brainstorm.txt:43972-43977",PROPOSED
PLOS-AIGV-0011,SYS,AIGV,"Release of high-capability AI models, weights, or tools must consider misuse risk, safety mitigations, and public-interest obligations proportional to capability.",Real Freedom + Accountable Power,"Technology and AI","sources/political_project_brainstorm.txt:43977-43982",PROPOSED
PLOS-AIGV-0012,SYS,AIGV,"AI systems may not be used to impersonate identifiable people in ways that facilitate fraud, coercion, denial of rights, or severe reputational harm.",Real Freedom,"Technology and AI, consumer rights, information and media","sources/political_project_brainstorm.txt:43982-43987",PROPOSED
PLOS-AIGV-0013,SYS,AIGV,"AI may be used to expand accessibility and disability support where it increases autonomy and access without replacing legally required accommodations or rights protections.",Real Freedom + Equal Justice,"Technology and AI, education, labor, healthcare","sources/political_project_brainstorm.txt:43987-43992",PROPOSED
PLOS-AIGV-0014,SYS,AIGV,"AI systems must be built with non-optional safety, security, and misuse-prevention controls that cannot be disabled, bypassed, or overridden in ordinary operation.",Real Freedom + Accountable Power,"Technology and AI","sources/political_project_brainstorm.txt:46247-46251",PROPOSED
PLOS-AIGV-0015,SYS,AIGV,"Any override of AI safety controls must be narrowly defined, federally approved in advance, time-limited, risk-ranked, scope-limited, mitigation-bound, and publicly disclosed except for tightly justified security confidentiality.",Accountable Power + Real Freedom,"Technology and AI","sources/political_project_brainstorm.txt:46259-46271; user prompt in current session",PROPOSED
PLOS-AIGV-0016,SYS,AIGV,"AI developers and deployers must actively design, test, and update safeguards against misuse by bad actors and against newly identified failure patterns.",Real Freedom + Accountable Power,"Technology and AI","sources/political_project_brainstorm.txt:46279-46283",PROPOSED
PLOS-AIGV-0017,SYS,AIGV,"A constitutionally established and funded AI regulatory authority must have adaptive rulemaking and aggressive enforcement power sufficient to prevent systemic harm, misuse, and regulatory lag.",Accountable Power + Clean Democracy,"Technology and AI, administrative state","sources/political_project_brainstorm.txt:46293-46311; user prompt in current session",PROPOSED
