EDU-FIN-001,EDU,FIN,"Student loan debt forgiveness or large-scale restructuring",MISSING,2,2
EDU-STD-001,EDU,STD,"Education standards must include protections against political or ideological indoctrination",MISSING,2,2
ENV-BIO-001,ENV,BIO,"Protect and restore migratory patterns for animals through infrastructure and land-use planning",MISSING,2,2
ENV-BIO-002,ENV,BIO,"Require wildlife crossings including bridges tunnels and related infrastructure where highways or railways disrupt migration routes and habitat continuity",MISSING,2,2
ENV-COR-001,ENV,COR,"Establish general anti-greenwashing standards prohibiting false misleading or selectively incomplete environmental claims by companies organizations or public entities",MISSING,2,2
ENV-COR-002,ENV,COR,"Require standardized verifiable environmental reporting to support anti-greenwashing enforcement across industries",MISSING,2,2
ENV-POL-001,ENV,POL,"Establish stronger national standards to reduce and monitor noise pollution",MISSING,2,2
ENV-POL-002,ENV,POL,"Establish stronger national standards to reduce and monitor light pollution",MISSING,2,2
ENV-SPC-001,ENV,SPC,"Establish rules for orbital sanitation and removal or mitigation of space junk",MISSING,2,2
ENV-SPC-002,ENV,SPC,"Require stronger regulation of private satellite deployment to prevent interference with scientific research astronomy and observation",MISSING,2,2
ENV-SPC-003,ENV,SPC,"Private satellite systems must meet environmental scientific and orbital-safety standards before approval and expansion",MISSING,2,2
IMM-ACC-001,IMM,ACC,"Immigration status may affect specific program eligibility but may not be used to deny emergency care basic education or other core rights-protective systems guaranteed under law",MISSING,2,2
IMM-ACC-002,IMM,ACC,"Children within United States jurisdiction must have meaningful access to education and basic developmental supports regardless of immigration status",MISSING,2,2
IMM-ACC-003,IMM,ACC,"Local access to healthcare schooling identification support and legal process should be designed so immigrants are not forced into invisibility or exploitation by bureaucratic exclusion",MISSING,2,2
IMM-ACC-004,IMM,ACC,"Public-service systems should provide clear multilingual navigation so immigrants can understand rights obligations and available resources without needing insider access",MISSING,2,2
IMM-ACC-005,IMM,ACC,"Basic access to reporting crime seeking emergency help attending school or seeking healthcare should not trigger retaliatory immigration enforcement except under narrowly defined serious circumstances",MISSING,2,2
IMM-ACC-006,IMM,ACC,"State and local institutions may not use ordinary public-service access points as covert immigration-enforcement traps",MISSING,2,2
IMM-ADM-001,IMM,ADM,"Immigration systems must be funded and staffed to reduce backlogs and delays that create injustice through prolonged uncertainty",MISSING,2,2
IMM-ADM-002,IMM,ADM,"Administrative simplification should reduce complexity duplication and document burdens that make legal compliance inaccessible to ordinary people",MISSING,2,2
IMM-ADM-003,IMM,ADM,"People must have accessible status updates document access and case information without relying on opaque or hostile bureaucratic systems",MISSING,2,2
IMM-ADM-004,IMM,ADM,"Immigration forms notices deadlines and legal standards should be written in clearer language and supported by navigable public guidance",MISSING,2,2
IMM-ADM-005,IMM,ADM,"Backlog reduction efforts may not sacrifice accuracy due process or individualized review",MISSING,2,2
IMM-ADM-006,IMM,ADM,"Immigration applicants must have clear access to case status notices deadlines decisions and supporting records through understandable and accessible systems",MISSING,2,2
IMM-ADM-007,IMM,ADM,"Immigration agencies may not use contradictory document standards shifting requirements or opaque procedural changes as de facto denial mechanisms",MISSING,2,2
IMM-ADM-008,IMM,ADM,"Where agency error delay or lost records materially harms an applicant the system must provide corrective remedies rather than placing full burden on the applicant",MISSING,2,2
IMM-ASY-001,IMM,ASY,"People seeking asylum or humanitarian protection must have meaningful access to fair screening full adjudication and protection from summary rejection where credible claims exist",MISSING,2,2
IMM-ASY-002,IMM,ASY,"Asylum systems may not rely on impossible deadlines inaccessible documentation demands or unsafe return assumptions that function as constructive denial",MISSING,2,2
IMM-ASY-003,IMM,ASY,"Credibility determinations in asylum and humanitarian cases must be made by accountable humans under fair standards and may not rely on AI inference or pseudoscientific assessment tools",MISSING,2,2
IMM-ASY-004,IMM,ASY,"People with credible fear or other serious protection claims may not be removed before meaningful review and appeal opportunities are available",MISSING,2,2
IMM-ASY-005,IMM,ASY,"Humanitarian protection systems must be designed to account for trauma language barriers family disruption and documentation limits without treating them as proof against the applicant",MISSING,2,2
IMM-ASY-006,IMM,ASY,"Asylum and refugee procedures must include clear timely and humane screening processes that do not function as constructive denial through delay confusion or intimidation",MISSING,2,2
IMM-ASY-007,IMM,ASY,"Credible-fear and related threshold screenings must be designed to identify potentially valid claims rather than exclude applicants through overly narrow interpretation or rushed adjudication",MISSING,2,2
IMM-ASY-008,IMM,ASY,"People seeking asylum or refugee protection must have sufficient time access to records and access to counsel or accredited representation to prepare and present claims meaningfully",MISSING,2,2
IMM-ASY-009,IMM,ASY,"Asylum adjudication must account for trauma memory disruption language barriers cultural differences and lack of documentation without treating those factors as proof against the applicant",MISSING,2,2
IMM-ASY-010,IMM,ASY,"Children survivors of trafficking survivors of gender-based violence LGBTQ+ applicants and other vulnerable groups must receive procedures tailored to their specific protection needs",MISSING,2,2
IMM-ASY-011,IMM,ASY,"Detention may not be used to pressure abandonment of asylum or humanitarian claims",MISSING,2,2
IMM-ASY-012,IMM,ASY,"Asylum and refugee decisions must be explained clearly in accessible language with meaningful review and appeal opportunities",MISSING,2,2
IMM-ASY-013,IMM,ASY,"Return or removal decisions in protection cases must include individualized safety assessment and may not rely on generalized country assumptions alone",MISSING,2,2
IMM-BRD-001,IMM,BRD,"Border governance must be lawful humane and accountable and may not rely on indiscriminate force or degrading treatment",MISSING,2,2
IMM-BRD-002,IMM,BRD,"Border enforcement powers must be clearly limited by constitutional rights civil liberties and human-rights standards",MISSING,2,2
IMM-BRD-003,IMM,BRD,"Use of force in border contexts must be strictly constrained reviewable and subject to independent oversight and disclosure",MISSING,2,2
IMM-BRD-004,IMM,BRD,"Border processing systems must be designed for order and speed without sacrificing due process humanitarian protection or access to review",MISSING,2,2
IMM-BRD-005,IMM,BRD,"Border enforcement may not be militarized in ways that normalize permanent emergency powers or undermine civilian accountability",MISSING,2,2
IMM-BRD-006,IMM,BRD,"Border officials and agencies must be subject to strong body-camera record-retention and evidence-preservation rules where consistent with safety and privacy law",MISSING,2,2
IMM-BRD-007,IMM,BRD,"Independent review mechanisms must investigate deaths abuse force incidents and rights violations occurring in border enforcement or custody contexts",MISSING,2,2
IMM-BRD-008,IMM,BRD,"Border enforcement may not use deprivation of food water medical care shelter hygiene or communication access as tools of deterrence or compliance",MISSING,2,2
IMM-BRD-009,IMM,BRD,"Border processing facilities must meet humane standards for healthcare sanitation temperature child safety disability access and family integrity",MISSING,2,2
IMM-BRD-010,IMM,BRD,"Emergency border powers may not be used as permanent substitutes for lawful immigration governance or to bypass rights protections indefinitely",MISSING,2,2
IMM-BRD-011,IMM,BRD,"Use of military or quasi-military structures in border governance must be tightly limited and may not displace civilian accountability or constitutional protections",MISSING,2,2
IMM-CIT-001,IMM,CIT,"Pathways to citizenship should be clear affordable and realistically attainable for people who meet established criteria",MISSING,2,2
IMM-CIT-002,IMM,CIT,"Citizenship systems should not be structured to preserve arbitrary exclusion through excessive fees delay or procedural complexity",MISSING,2,2
IMM-CIT-003,IMM,CIT,"Birthright citizenship must remain explicit and protected against erosion or reinterpretation",MISSING,2,2
IMM-CIT-004,IMM,CIT,"Long-term lawful residents should have fair and stable pathways to full civic participation including citizenship where appropriate",MISSING,2,2
IMM-CIT-005,IMM,CIT,"Naturalization systems should be clear affordable timely and realistically navigable without excessive legal or financial burden",MISSING,2,2
IMM-CIT-006,IMM,CIT,"Citizenship eligibility processes should not be distorted by unnecessary procedural barriers backlogs excessive fees or inaccessible documentation demands",MISSING,2,2
IMM-CIT-007,IMM,CIT,"Long-term lawful residents should not remain in extended quasi-permanent limbo where citizenship is technically available but practically inaccessible",MISSING,2,2
IMM-CIT-008,IMM,CIT,"Naturalization procedures should include accessible language support accommodations and process guidance so eligibility is meaningful in practice",MISSING,2,2
IMM-CIT-009,IMM,CIT,"The citizenship process may include lawful standards for civic knowledge and accountability but may not be structured as an exclusionary cultural or ideological filter",MISSING,2,2
IMM-CIT-010,IMM,CIT,"Fees and procedural burdens in citizenship processes should include waivers or public support mechanisms so low-income applicants are not excluded",MISSING,2,2
IMM-CON-001,IMM,CON,"Private contractors involved in immigration processing transportation surveillance case management or service delivery must be subject to full public-law accountability standards",MISSING,2,2
IMM-CON-002,IMM,CON,"Immigration contractors may not claim secrecy proprietary privilege or privatized status to avoid oversight disclosure or judicial review",MISSING,2,2
IMM-CON-003,IMM,CON,"Contractors performing immigration-related functions must be subject to independent audit public reporting and enforceable penalties for abuse or noncompliance",MISSING,2,2
IMM-CON-004,IMM,CON,"No contractor compensation structure may reward detention volume removals denial rates speed-over-fairness or other perverse enforcement incentives",MISSING,2,2
IMM-CON-005,IMM,CON,"Immigration-service contracts must prioritize rights protection quality of care competence and accountability rather than lowest-cost extraction models",MISSING,2,2
IMM-CON-006,IMM,CON,"Government may not fragment immigration functions across contractors in ways that obscure responsibility for rights violations neglect abuse or wrongful detention",MISSING,2,2
IMM-CON-007,IMM,CON,"People harmed by immigration contractors must have full access to remedies records complaint systems and legal claims against both the contractor and the government entity responsible",MISSING,2,2
IMM-CON-008,IMM,CON,"Independent oversight bodies must have full access to contractor-run facilities records communications incident logs and complaint data",MISSING,2,2
IMM-CON-009,IMM,CON,"Immigration enforcement detention adjudication and core administrative functions may not be delegated to private contractors and must be performed by publicly accountable government entities",MISSING,2,2
IMM-CON-010,IMM,CON,"Core immigration functions include detention custody transportation enforcement decision-making adjudication case management and access to legal or custodial records and may not be outsourced to private actors",MISSING,2,2
IMM-CON-011,IMM,CON,"Limited use of contractors may be permitted for non-core support services such as facility maintenance translation technical infrastructure or food services where those functions do not involve custody authority decision-making or rights-impacting control",MISSING,2,2
IMM-CON-012,IMM,CON,"Contractors may not exercise authority over individuals including detention control transport authority enforcement discretion or access to sensitive legal decision-making processes",MISSING,2,2
IMM-CON-013,IMM,CON,"No compensation structure may reward detention volume enforcement activity removals denial rates or any metric tied to deprivation of liberty or rights",MISSING,2,2
IMM-CON-014,IMM,CON,"Government entities may not indirectly outsource core immigration functions through layered subcontracting partnerships or inter-agency agreements designed to evade contractor restrictions",MISSING,2,2
IMM-CON-015,IMM,CON,"All permitted contractors must be subject to full public-law accountability including transparency requirements records access audit authority and legal liability equivalent to government actors",MISSING,2,2
IMM-CON-016,IMM,CON,"Individuals harmed by contractor actions must have full legal recourse against both the contractor and the responsible government entity without procedural barriers or liability shields",MISSING,2,2
IMM-CRT-001,IMM,CRT,"Immigration adjudication systems must be structured for independence fairness and competence and may not function as rubber-stamp enforcement mechanisms",MISSING,2,2
IMM-CRT-002,IMM,CRT,"Immigration courts or equivalent adjudicative bodies should be insulated from political pressure case quotas and enforcement-first incentives that undermine fair adjudication",MISSING,2,2
IMM-CRT-003,IMM,CRT,"People in immigration proceedings must have clear access to records hearing dates evidence and procedural guidance sufficient for meaningful participation",MISSING,2,2
IMM-CRT-004,IMM,CRT,"Adjudicators in immigration systems must receive trauma-informed culturally competent and rights-grounded training appropriate to high-stakes human-rights cases",MISSING,2,2
IMM-DAT-001,IMM,DAT,"Immigration systems may not use broad data surveillance or commercially acquired data to bypass due process or create shadow enforcement profiles",MISSING,2,2
IMM-DAT-002,IMM,DAT,"Data-sharing between immigration systems and other government systems must be tightly limited transparent and legally justified",MISSING,2,2
IMM-DAT-003,IMM,DAT,"Immigration data must be treated as highly sensitive and may not be used for unrelated profiling commercial use or political targeting",MISSING,2,2
IMM-DAT-004,IMM,DAT,"Record systems must include correction mechanisms so people can challenge inaccurate data that affects status detention or removal risk",MISSING,2,2
IMM-DET-001,IMM,DET,"Immigration detention must be strictly limited and may not be used as a default administrative convenience or deterrence mechanism",MISSING,2,2
IMM-DET-002,IMM,DET,"Indefinite immigration detention is prohibited",MISSING,2,2
IMM-DET-003,IMM,DET,"Detention conditions must meet strong standards for healthcare sanitation safety dignity and communication access",MISSING,2,2
IMM-DET-004,IMM,DET,"Alternatives to detention should be preferred where appearance and safety can be reasonably maintained through less restrictive means",MISSING,2,2
IMM-DET-005,IMM,DET,"Immigration detention must be subject to prompt individualized review and periodic re-review rather than open-ended confinement",MISSING,2,2
IMM-DET-006,IMM,DET,"Use of offshore or legally exceptional detention structures designed to evade rights or oversight is prohibited",MISSING,2,2
IMM-DET-007,IMM,DET,"Private immigration detention facilities are prohibited",MISSING,2,2
IMM-DET-008,IMM,DET,"Detention custody transportation or confinement of immigrants may not be outsourced to private companies for profit",MISSING,2,2
IMM-DET-009,IMM,DET,"Government may not use private contractors to evade accountability transparency or legal protections in detention or custody operations",MISSING,2,2
IMM-DET-010,IMM,DET,"Any non-private immigration detention or custody setting must meet strong standards for healthcare mental healthcare disability access child safety communication and humane treatment",MISSING,2,2
IMM-DET-011,IMM,DET,"Deaths injuries medical neglect sexual abuse and serious rights violations in immigration custody must trigger mandatory independent investigation and public reporting",MISSING,2,2
IMM-DET-012,IMM,DET,"Contractor or agency employees involved in immigration custody abuse neglect falsification or retaliation must face enforceable consequences including removal referral and decertification where applicable",MISSING,2,2
IMM-DOC-001,IMM,DOC,"Immigration and travel document systems must respect updated legal identity information and may not impose contradictory marker rules across agencies",MISSING,2,2
IMM-DOC-002,IMM,DOC,"Removal of sex and gender markers from passports and identity documents should be implemented in ways that do not create new barriers to travel status processing or safety",MISSING,2,2
IMM-DUE-001,IMM,DUE,"People in immigration proceedings must have meaningful due process including notice interpretation access to records and opportunity to be heard",MISSING,2,2
IMM-DUE-002,IMM,DUE,"People must have timely access to counsel or accredited representation in immigration proceedings especially where detention removal or family separation is at stake",MISSING,2,2
IMM-DUE-003,IMM,DUE,"Immigration proceedings may not rely on rushed scheduling procedural traps or inaccessible filing systems that functionally deny rights",MISSING,2,2
IMM-DUE-004,IMM,DUE,"Immigration decisions must be reviewable and may not be insulated from judicial oversight through excessive secrecy or discretionary abuse",MISSING,2,2
IMM-DUE-005,IMM,DUE,"Interpretation and translation services must be available at every critical stage of immigration processing and adjudication without cost barriers",MISSING,2,2
IMM-DUE-006,IMM,DUE,"All persons within the United States or under the custody or control of United States authorities are entitled to fundamental legal protections including due process habeas corpus and access to courts",MISSING,2,2
IMM-DUE-007,IMM,DUE,"Immigration status may not be used to deny or diminish access to legal representation judicial review or basic procedural protections",MISSING,2,2
IMM-DUE-008,IMM,DUE,"Individuals in immigration detention or proceedings must have timely access to counsel and may not be subject to barriers that make representation functionally unavailable",MISSING,2,2
IMM-DUE-009,IMM,DUE,"Habeas corpus protections apply fully to all individuals detained under immigration authority and may not be suspended or limited through statutory or administrative workaround",MISSING,2,2
IMM-DUE-010,IMM,DUE,"Immigration detention and removal decisions must remain subject to meaningful judicial review and may not be insulated by excessive deference or jurisdiction-stripping mechanisms",MISSING,2,2
IMM-DUE-011,IMM,DUE,"No category of person within United States jurisdiction may be placed into a legal status that eliminates access to courts or meaningful challenge of detention or removal",MISSING,2,2
IMM-ENF-001,IMM,ENF,"Immigration and Customs Enforcement in its current form should be abolished and replaced with narrower rights-constrained and transparently governed structures that cannot reproduce its current abuse patterns",MISSING,2,2
IMM-ENF-002,IMM,ENF,"Any replacement immigration-enforcement structure must operate under strict statutory limits independent oversight public reporting and enforceable civil-rights protections",MISSING,2,2
IMM-ENF-003,IMM,ENF,"Immigration enforcement agencies may not use broad discretionary power fragmented secrecy or deterrence-through-cruelty practices as operational tools",MISSING,2,2
IMM-ENF-004,IMM,ENF,"Immigration enforcement functions must be structurally separated from systems intended for humanitarian processing adjudication and support to reduce abuse and conflict of purpose",MISSING,2,2
IMM-ENF-005,IMM,ENF,"Replacement structures must include strong anti-abuse safeguards including complaint systems external investigations decertification authority and remedies for rights violations",MISSING,2,2
IMM-FAM-001,IMM,FAM,"Family separation in immigration enforcement is prohibited except under narrowly defined and reviewable conditions involving immediate safety necessity",MISSING,2,2
IMM-FAM-002,IMM,FAM,"Immigration systems must prioritize family unity and provide procedures for family reunification and coordinated case processing",MISSING,2,2
IMM-FAM-003,IMM,FAM,"Children in immigration systems must receive heightened protections including access to care education guardianship support and developmentally appropriate process",MISSING,2,2
IMM-FAM-004,IMM,FAM,"Families may not be coerced into waiver or removal decisions through detention threats separation threats or deprivation of care",MISSING,2,2
IMM-INT-001,IMM,INT,"Immigration policy should support stable local integration through language access community support lawful work access and predictable process rather than prolonged precarity",MISSING,2,2
IMM-INT-002,IMM,INT,"People with pending lawful-status or protection claims should have predictable rules for work authorization and continuity of daily life while cases are pending",MISSING,2,2
IMM-INT-003,IMM,INT,"Administrative limbo should not be treated as an acceptable long-term state for people with significant ties legal claims or prolonged residence",MISSING,2,2
IMM-INT-004,IMM,INT,"Immigration-system design should reduce fear-driven avoidance of schools healthcare courts and labor enforcement by ensuring clearer boundaries between service systems and enforcement systems",MISSING,2,2
IMM-LAB-001,IMM,LAB,"Immigration status may not be used by employers to suppress wages retaliate against workers or evade labor law",MISSING,2,2
IMM-LAB-002,IMM,LAB,"All workers regardless of immigration status must be protected by labor safety wage and anti-exploitation laws",MISSING,2,2
IMM-LAB-003,IMM,LAB,"Reporting labor abuse wage theft trafficking or unsafe working conditions must not expose workers to retaliatory immigration enforcement",MISSING,2,2
IMM-LAB-004,IMM,LAB,"Visa and work authorization systems must be designed to reduce employer domination and dependency that create coercive working conditions",MISSING,2,2
